Label,Count,Wing_Area
MP_BipKopp1.1_B3_1_F__01.tif,75,A1
MP_BipKopp1.1_B3_1_F__01.tif,81,A2
MP_BipKopp1.1_B3_1_F__01.tif,121,B1
MP_BipKopp1.1_B3_1_F__01.tif,85,B2
MP_BipKopp1.1_B3_1_F__01.tif,92,B3
MP_BipKopp1.1_B3_1_F__01.tif,88,C1
MP_BipKopp1.1_B3_1_F__01.tif,96,C2
MP_BipKopp1.1_B3_1_F__01.tif,104,C3
MP_BipKopp1.1_B3_1_F__01.tif,114,E1
MP_BipKopp1.1_B3_1_F__01.tif,112,E2
MP_BipKopp1.1_B3_1_F__01.tif,90,F1
MP_BipKopp1.1_B3_1_F__01.tif,95,F2
MP_BipKopp1.1_B3_1_F__01.tif,109,F3
MP_BipKopp1.1_B3_1_F__01.tif,83,G1
MP_BipKopp1.1_B3_1_F__01.tif,153,G2
MP_BipKopp1.1_B3_1_F__01.tif,102,G3
MP_BipKopp1.1_B3_1_F__02.tif,88,A1
MP_BipKopp1.1_B3_1_F__02.tif,79,A2
MP_BipKopp1.1_B3_1_F__02.tif,75,B1
MP_BipKopp1.1_B3_1_F__02.tif,88,B2
MP_BipKopp1.1_B3_1_F__02.tif,97,B3
MP_BipKopp1.1_B3_1_F__02.tif,82,C1
MP_BipKopp1.1_B3_1_F__02.tif,91,C2
MP_BipKopp1.1_B3_1_F__02.tif,110,C3
MP_BipKopp1.1_B3_1_F__02.tif,88,E1
MP_BipKopp1.1_B3_1_F__02.tif,97,E2
MP_BipKopp1.1_B3_1_F__02.tif,93,F1
MP_BipKopp1.1_B3_1_F__02.tif,86,F2
MP_BipKopp1.1_B3_1_F__02.tif,104,F3
MP_BipKopp1.1_B3_1_F__02.tif,98,G1
MP_BipKopp1.1_B3_1_F__02.tif,84,G2
MP_BipKopp1.1_B3_1_F__02.tif,103,G3
MP_BipKopp1.1_B3_1_F__03.tif,81,A1
MP_BipKopp1.1_B3_1_F__03.tif,69,A2
MP_BipKopp1.1_B3_1_F__03.tif,76,B1
MP_BipKopp1.1_B3_1_F__03.tif,73,B2
MP_BipKopp1.1_B3_1_F__03.tif,90,B3
MP_BipKopp1.1_B3_1_F__03.tif,72,C1
MP_BipKopp1.1_B3_1_F__03.tif,87,C2
MP_BipKopp1.1_B3_1_F__03.tif,88,C3
MP_BipKopp1.1_B3_1_F__03.tif,88,E1
MP_BipKopp1.1_B3_1_F__03.tif,84,E2
MP_BipKopp1.1_B3_1_F__03.tif,82,F1
MP_BipKopp1.1_B3_1_F__03.tif,72,F2
MP_BipKopp1.1_B3_1_F__03.tif,89,F3
MP_BipKopp1.1_B3_1_F__03.tif,111,G1
MP_BipKopp1.1_B3_1_F__03.tif,75,G2
MP_BipKopp1.1_B3_1_F__03.tif,105,G3
MP_BipKopp1.1_B3_1_F__04.tif,76,A1
MP_BipKopp1.1_B3_1_F__04.tif,71,A2
MP_BipKopp1.1_B3_1_F__04.tif,80,B1
MP_BipKopp1.1_B3_1_F__04.tif,87,B2
MP_BipKopp1.1_B3_1_F__04.tif,89,B3
MP_BipKopp1.1_B3_1_F__04.tif,88,C1
MP_BipKopp1.1_B3_1_F__04.tif,92,C2
MP_BipKopp1.1_B3_1_F__04.tif,100,C3
MP_BipKopp1.1_B3_1_F__04.tif,99,E1
MP_BipKopp1.1_B3_1_F__04.tif,92,E2
MP_BipKopp1.1_B3_1_F__04.tif,96,F1
MP_BipKopp1.1_B3_1_F__04.tif,91,F2
MP_BipKopp1.1_B3_1_F__04.tif,94,F3
MP_BipKopp1.1_B3_1_F__04.tif,116,G1
MP_BipKopp1.1_B3_1_F__04.tif,85,G2
MP_BipKopp1.1_B3_1_F__04.tif,105,G3
MP_BipKopp1.1_B3_1_F__05.tif,77,A1
MP_BipKopp1.1_B3_1_F__05.tif,72,A2
MP_BipKopp1.1_B3_1_F__05.tif,84,B1
MP_BipKopp1.1_B3_1_F__05.tif,85,B2
MP_BipKopp1.1_B3_1_F__05.tif,109,B3
MP_BipKopp1.1_B3_1_F__05.tif,70,C1
MP_BipKopp1.1_B3_1_F__05.tif,83,C2
MP_BipKopp1.1_B3_1_F__05.tif,120,C3
MP_BipKopp1.1_B3_1_F__05.tif,92,E1
MP_BipKopp1.1_B3_1_F__05.tif,93,E2
MP_BipKopp1.1_B3_1_F__05.tif,94,F1
MP_BipKopp1.1_B3_1_F__05.tif,83,F2
MP_BipKopp1.1_B3_1_F__05.tif,110,F3
MP_BipKopp1.1_B3_1_F__05.tif,106,G1
MP_BipKopp1.1_B3_1_F__05.tif,97,G2
MP_BipKopp1.1_B3_1_F__05.tif,113,G3
MP_BipKopp1.1_B3_1_F__06.tif,92,A1
MP_BipKopp1.1_B3_1_F__06.tif,84,A2
MP_BipKopp1.1_B3_1_F__06.tif,81,B1
MP_BipKopp1.1_B3_1_F__06.tif,94,B2
MP_BipKopp1.1_B3_1_F__06.tif,85,B3
MP_BipKopp1.1_B3_1_F__06.tif,73,C1
MP_BipKopp1.1_B3_1_F__06.tif,84,C2
MP_BipKopp1.1_B3_1_F__06.tif,103,C3
MP_BipKopp1.1_B3_1_F__06.tif,81,E1
MP_BipKopp1.1_B3_1_F__06.tif,81,E2
MP_BipKopp1.1_B3_1_F__06.tif,90,F1
MP_BipKopp1.1_B3_1_F__06.tif,100,F2
MP_BipKopp1.1_B3_1_F__06.tif,116,F3
MP_BipKopp1.1_B3_1_F__06.tif,47,G1
MP_BipKopp1.1_B3_1_F__06.tif,72,G2
MP_BipKopp1.1_B3_1_F__06.tif,102,G3
MP_BipKopp1.1_B3_1_F__07.tif,61,A1
MP_BipKopp1.1_B3_1_F__07.tif,64,A2
MP_BipKopp1.1_B3_1_F__07.tif,88,B1
MP_BipKopp1.1_B3_1_F__07.tif,85,B2
MP_BipKopp1.1_B3_1_F__07.tif,92,B3
MP_BipKopp1.1_B3_1_F__07.tif,68,C1
MP_BipKopp1.1_B3_1_F__07.tif,87,C2
MP_BipKopp1.1_B3_1_F__07.tif,116,C3
MP_BipKopp1.1_B3_1_F__07.tif,103,E1
MP_BipKopp1.1_B3_1_F__07.tif,104,E2
MP_BipKopp1.1_B3_1_F__07.tif,99,F1
MP_BipKopp1.1_B3_1_F__07.tif,91,F2
MP_BipKopp1.1_B3_1_F__07.tif,107,F3
MP_BipKopp1.1_B3_1_F__07.tif,130,G1
MP_BipKopp1.1_B3_1_F__07.tif,71,G2
MP_BipKopp1.1_B3_1_F__07.tif,94,G3
MP_BipKopp1.1_B3_1_F__08.tif,88,A1
MP_BipKopp1.1_B3_1_F__08.tif,82,A2
MP_BipKopp1.1_B3_1_F__08.tif,85,B1
MP_BipKopp1.1_B3_1_F__08.tif,93,B2
MP_BipKopp1.1_B3_1_F__08.tif,106,B3
MP_BipKopp1.1_B3_1_F__08.tif,95,C1
MP_BipKopp1.1_B3_1_F__08.tif,99,C2
MP_BipKopp1.1_B3_1_F__08.tif,127,C3
MP_BipKopp1.1_B3_1_F__08.tif,111,E1
MP_BipKopp1.1_B3_1_F__08.tif,106,E2
MP_BipKopp1.1_B3_1_F__08.tif,114,F1
MP_BipKopp1.1_B3_1_F__08.tif,93,F2
MP_BipKopp1.1_B3_1_F__08.tif,105,F3
MP_BipKopp1.1_B3_1_F__08.tif,146,G1
MP_BipKopp1.1_B3_1_F__08.tif,82,G2
MP_BipKopp1.1_B3_1_F__08.tif,112,G3
MP_BipKopp1.1_B3_1_F__09.tif,80,A1
MP_BipKopp1.1_B3_1_F__09.tif,80,A2
MP_BipKopp1.1_B3_1_F__09.tif,100,B1
MP_BipKopp1.1_B3_1_F__09.tif,101,B2
MP_BipKopp1.1_B3_1_F__09.tif,101,B3
MP_BipKopp1.1_B3_1_F__09.tif,92,C1
MP_BipKopp1.1_B3_1_F__09.tif,98,C2
MP_BipKopp1.1_B3_1_F__09.tif,108,C3
MP_BipKopp1.1_B3_1_F__09.tif,118,E1
MP_BipKopp1.1_B3_1_F__09.tif,118,E2
MP_BipKopp1.1_B3_1_F__09.tif,116,F1
MP_BipKopp1.1_B3_1_F__09.tif,109,F2
MP_BipKopp1.1_B3_1_F__09.tif,110,F3
MP_BipKopp1.1_B3_1_F__09.tif,136,G1
MP_BipKopp1.1_B3_1_F__09.tif,90,G2
MP_BipKopp1.1_B3_1_F__09.tif,114,G3
MP_BipKopp1.1_B3_1_F__10.tif,60,A1
MP_BipKopp1.1_B3_1_F__10.tif,65,A2
MP_BipKopp1.1_B3_1_F__10.tif,67,B1
MP_BipKopp1.1_B3_1_F__10.tif,68,B2
MP_BipKopp1.1_B3_1_F__10.tif,80,B3
MP_BipKopp1.1_B3_1_F__10.tif,77,C1
MP_BipKopp1.1_B3_1_F__10.tif,84,C2
MP_BipKopp1.1_B3_1_F__10.tif,97,C3
MP_BipKopp1.1_B3_1_F__10.tif,88,E1
MP_BipKopp1.1_B3_1_F__10.tif,88,E2
MP_BipKopp1.1_B3_1_F__10.tif,87,F1
MP_BipKopp1.1_B3_1_F__10.tif,93,F2
MP_BipKopp1.1_B3_1_F__10.tif,110,F3
MP_BipKopp1.1_B3_1_F__10.tif,105,G1
MP_BipKopp1.1_B3_1_F__10.tif,79,G2
MP_BipKopp1.1_B3_1_F__10.tif,103,G3
MP_BipKopp1.1_B3_1_F__11.tif,105,A1
MP_BipKopp1.1_B3_1_F__11.tif,159,A2
MP_BipKopp1.1_B3_1_F__11.tif,124,B1
MP_BipKopp1.1_B3_1_F__11.tif,113,B2
MP_BipKopp1.1_B3_1_F__11.tif,132,B3
MP_BipKopp1.1_B3_1_F__11.tif,117,C1
MP_BipKopp1.1_B3_1_F__11.tif,101,C2
MP_BipKopp1.1_B3_1_F__11.tif,130,C3
MP_BipKopp1.1_B3_1_F__11.tif,110,E1
MP_BipKopp1.1_B3_1_F__11.tif,120,E2
MP_BipKopp1.1_B3_1_F__11.tif,133,F1
MP_BipKopp1.1_B3_1_F__11.tif,117,F2
MP_BipKopp1.1_B3_1_F__11.tif,113,F3
MP_BipKopp1.1_B3_1_F__11.tif,116,G1
MP_BipKopp1.1_B3_1_F__11.tif,110,G2
MP_BipKopp1.1_B3_1_F__11.tif,165,G3
MP_BipKopp1.1_B3_1_F__12.tif,73,A1
MP_BipKopp1.1_B3_1_F__12.tif,85,A2
MP_BipKopp1.1_B3_1_F__12.tif,92,B1
MP_BipKopp1.1_B3_1_F__12.tif,80,B2
MP_BipKopp1.1_B3_1_F__12.tif,100,B3
MP_BipKopp1.1_B3_1_F__12.tif,79,C1
MP_BipKopp1.1_B3_1_F__12.tif,93,C2
MP_BipKopp1.1_B3_1_F__12.tif,107,C3
MP_BipKopp1.1_B3_1_F__12.tif,89,E1
MP_BipKopp1.1_B3_1_F__12.tif,89,E2
MP_BipKopp1.1_B3_1_F__12.tif,91,F1
MP_BipKopp1.1_B3_1_F__12.tif,99,F2
MP_BipKopp1.1_B3_1_F__12.tif,99,F3
MP_BipKopp1.1_B3_1_F__12.tif,122,G1
MP_BipKopp1.1_B3_1_F__12.tif,86,G2
MP_BipKopp1.1_B3_1_F__12.tif,88,G3
MP_BipKopp1.1_B3_1_F__13.tif,63,A1
MP_BipKopp1.1_B3_1_F__13.tif,72,A2
MP_BipKopp1.1_B3_1_F__13.tif,68,B1
MP_BipKopp1.1_B3_1_F__13.tif,71,B2
MP_BipKopp1.1_B3_1_F__13.tif,100,B3
MP_BipKopp1.1_B3_1_F__13.tif,74,C1
MP_BipKopp1.1_B3_1_F__13.tif,83,C2
MP_BipKopp1.1_B3_1_F__13.tif,102,C3
MP_BipKopp1.1_B3_1_F__13.tif,90,E1
MP_BipKopp1.1_B3_1_F__13.tif,81,E2
MP_BipKopp1.1_B3_1_F__13.tif,92,F1
MP_BipKopp1.1_B3_1_F__13.tif,102,F2
MP_BipKopp1.1_B3_1_F__13.tif,103,F3
MP_BipKopp1.1_B3_1_F__13.tif,126,G1
MP_BipKopp1.1_B3_1_F__13.tif,72,G2
MP_BipKopp1.1_B3_1_F__13.tif,101,G3
MP_BipKopp1.1_B3_1_F__14.tif,78,A1
MP_BipKopp1.1_B3_1_F__14.tif,72,A2
MP_BipKopp1.1_B3_1_F__14.tif,78,B1
MP_BipKopp1.1_B3_1_F__14.tif,82,B2
MP_BipKopp1.1_B3_1_F__14.tif,89,B3
MP_BipKopp1.1_B3_1_F__14.tif,79,C1
MP_BipKopp1.1_B3_1_F__14.tif,88,C2
MP_BipKopp1.1_B3_1_F__14.tif,92,C3
MP_BipKopp1.1_B3_1_F__14.tif,96,E1
MP_BipKopp1.1_B3_1_F__14.tif,99,E2
MP_BipKopp1.1_B3_1_F__14.tif,91,F1
MP_BipKopp1.1_B3_1_F__14.tif,91,F2
MP_BipKopp1.1_B3_1_F__14.tif,99,F3
MP_BipKopp1.1_B3_1_F__14.tif,118,G1
MP_BipKopp1.1_B3_1_F__14.tif,85,G2
MP_BipKopp1.1_B3_1_F__14.tif,104,G3
MP_BipKopp1.1_B3_1_F__15.tif,68,A1
MP_BipKopp1.1_B3_1_F__15.tif,70,A2
MP_BipKopp1.1_B3_1_F__15.tif,90,B1
MP_BipKopp1.1_B3_1_F__15.tif,83,B2
MP_BipKopp1.1_B3_1_F__15.tif,103,B3
MP_BipKopp1.1_B3_1_F__15.tif,82,C1
MP_BipKopp1.1_B3_1_F__15.tif,96,C2
MP_BipKopp1.1_B3_1_F__15.tif,121,C3
MP_BipKopp1.1_B3_1_F__15.tif,102,E1
MP_BipKopp1.1_B3_1_F__15.tif,92,E2
MP_BipKopp1.1_B3_1_F__15.tif,100,F1
MP_BipKopp1.1_B3_1_F__15.tif,93,F2
MP_BipKopp1.1_B3_1_F__15.tif,104,F3
MP_BipKopp1.1_B3_1_F__15.tif,114,G1
MP_BipKopp1.1_B3_1_F__15.tif,82,G2
MP_BipKopp1.1_B3_1_F__15.tif,106,G3
MP_BipKopp1.1_B3_1_F__16.tif,80,A1
MP_BipKopp1.1_B3_1_F__16.tif,75,A2
MP_BipKopp1.1_B3_1_F__16.tif,76,B1
MP_BipKopp1.1_B3_1_F__16.tif,87,B2
MP_BipKopp1.1_B3_1_F__16.tif,93,B3
MP_BipKopp1.1_B3_1_F__16.tif,80,C1
MP_BipKopp1.1_B3_1_F__16.tif,91,C2
MP_BipKopp1.1_B3_1_F__16.tif,100,C3
MP_BipKopp1.1_B3_1_F__16.tif,97,E1
MP_BipKopp1.1_B3_1_F__16.tif,84,E2
MP_BipKopp1.1_B3_1_F__16.tif,95,F1
MP_BipKopp1.1_B3_1_F__16.tif,96,F2
MP_BipKopp1.1_B3_1_F__16.tif,117,F3
MP_BipKopp1.1_B3_1_F__16.tif,125,G1
MP_BipKopp1.1_B3_1_F__16.tif,82,G2
MP_BipKopp1.1_B3_1_F__16.tif,89,G3
MP_BipKopp1.1_B3_1_F__17.tif,86,A1
MP_BipKopp1.1_B3_1_F__17.tif,75,A2
MP_BipKopp1.1_B3_1_F__17.tif,75,B1
MP_BipKopp1.1_B3_1_F__17.tif,77,B2
MP_BipKopp1.1_B3_1_F__17.tif,107,B3
MP_BipKopp1.1_B3_1_F__17.tif,83,C1
MP_BipKopp1.1_B3_1_F__17.tif,88,C2
MP_BipKopp1.1_B3_1_F__17.tif,105,C3
MP_BipKopp1.1_B3_1_F__17.tif,72,E1
MP_BipKopp1.1_B3_1_F__17.tif,93,E2
MP_BipKopp1.1_B3_1_F__17.tif,102,F1
MP_BipKopp1.1_B3_1_F__17.tif,94,F2
MP_BipKopp1.1_B3_1_F__17.tif,109,F3
MP_BipKopp1.1_B3_1_F__17.tif,119,G1
MP_BipKopp1.1_B3_1_F__17.tif,87,G2
MP_BipKopp1.1_B3_1_F__17.tif,108,G3
MP_BipKopp1.1_B3_1_F__18.tif,73,A1
MP_BipKopp1.1_B3_1_F__18.tif,72,A2
MP_BipKopp1.1_B3_1_F__18.tif,75,B1
MP_BipKopp1.1_B3_1_F__18.tif,69,B2
MP_BipKopp1.1_B3_1_F__18.tif,86,B3
MP_BipKopp1.1_B3_1_F__18.tif,76,C1
MP_BipKopp1.1_B3_1_F__18.tif,91,C2
MP_BipKopp1.1_B3_1_F__18.tif,108,C3
MP_BipKopp1.1_B3_1_F__18.tif,87,E1
MP_BipKopp1.1_B3_1_F__18.tif,79,E2
MP_BipKopp1.1_B3_1_F__18.tif,95,F1
MP_BipKopp1.1_B3_1_F__18.tif,84,F2
MP_BipKopp1.1_B3_1_F__18.tif,95,F3
MP_BipKopp1.1_B3_1_F__18.tif,122,G1
MP_BipKopp1.1_B3_1_F__18.tif,74,G2
MP_BipKopp1.1_B3_1_F__18.tif,99,G3
MP_BipKopp1.1_B3_1_F__19.tif,71,A1
MP_BipKopp1.1_B3_1_F__19.tif,57,A2
MP_BipKopp1.1_B3_1_F__19.tif,81,B1
MP_BipKopp1.1_B3_1_F__19.tif,87,B2
MP_BipKopp1.1_B3_1_F__19.tif,83,B3
MP_BipKopp1.1_B3_1_F__19.tif,80,C1
MP_BipKopp1.1_B3_1_F__19.tif,89,C2
MP_BipKopp1.1_B3_1_F__19.tif,112,C3
MP_BipKopp1.1_B3_1_F__19.tif,91,E1
MP_BipKopp1.1_B3_1_F__19.tif,99,E2
MP_BipKopp1.1_B3_1_F__19.tif,101,F1
MP_BipKopp1.1_B3_1_F__19.tif,93,F2
MP_BipKopp1.1_B3_1_F__19.tif,106,F3
MP_BipKopp1.1_B3_1_F__19.tif,111,G1
MP_BipKopp1.1_B3_1_F__19.tif,70,G2
MP_BipKopp1.1_B3_1_F__19.tif,117,G3
MP_BipKopp1.1_B3_1_F__20.tif,81,A1
MP_BipKopp1.1_B3_1_F__20.tif,72,A2
MP_BipKopp1.1_B3_1_F__20.tif,85,B1
MP_BipKopp1.1_B3_1_F__20.tif,90,B2
MP_BipKopp1.1_B3_1_F__20.tif,94,B3
MP_BipKopp1.1_B3_1_F__20.tif,79,C1
MP_BipKopp1.1_B3_1_F__20.tif,96,C2
MP_BipKopp1.1_B3_1_F__20.tif,109,C3
MP_BipKopp1.1_B3_1_F__20.tif,103,E1
MP_BipKopp1.1_B3_1_F__20.tif,96,E2
MP_BipKopp1.1_B3_1_F__20.tif,100,F1
MP_BipKopp1.1_B3_1_F__20.tif,101,F2
MP_BipKopp1.1_B3_1_F__20.tif,102,F3
MP_BipKopp1.1_B3_1_F__20.tif,100,G1
MP_BipKopp1.1_B3_1_F__20.tif,81,G2
MP_BipKopp1.1_B3_1_F__20.tif,99,G3
MP_BipKopp1.1_B3_1_F__21.tif,97,A1
MP_BipKopp1.1_B3_1_F__21.tif,91,A2
MP_BipKopp1.1_B3_1_F__21.tif,122,B1
MP_BipKopp1.1_B3_1_F__21.tif,146,B2
MP_BipKopp1.1_B3_1_F__21.tif,124,B3
MP_BipKopp1.1_B3_1_F__21.tif,134,C1
MP_BipKopp1.1_B3_1_F__21.tif,160,C2
MP_BipKopp1.1_B3_1_F__21.tif,177,C3
MP_BipKopp1.1_B3_1_F__21.tif,117,E1
MP_BipKopp1.1_B3_1_F__21.tif,129,E2
MP_BipKopp1.1_B3_1_F__21.tif,143,F1
MP_BipKopp1.1_B3_1_F__21.tif,139,F2
MP_BipKopp1.1_B3_1_F__21.tif,120,F3
MP_BipKopp1.1_B3_1_F__21.tif,134,G1
MP_BipKopp1.1_B3_1_F__21.tif,173,G2
MP_BipKopp1.1_B3_1_F__21.tif,104,G3
MP_BipKopp1.1_B3_1_M__01.tif,99,A1
MP_BipKopp1.1_B3_1_M__01.tif,92,A2
MP_BipKopp1.1_B3_1_M__01.tif,102,B1
MP_BipKopp1.1_B3_1_M__01.tif,80,B2
MP_BipKopp1.1_B3_1_M__01.tif,112,B3
MP_BipKopp1.1_B3_1_M__01.tif,86,C1
MP_BipKopp1.1_B3_1_M__01.tif,94,C2
MP_BipKopp1.1_B3_1_M__01.tif,120,C3
MP_BipKopp1.1_B3_1_M__01.tif,107,E1
MP_BipKopp1.1_B3_1_M__01.tif,108,E2
MP_BipKopp1.1_B3_1_M__01.tif,101,F1
MP_BipKopp1.1_B3_1_M__01.tif,98,F2
MP_BipKopp1.1_B3_1_M__01.tif,119,F3
MP_BipKopp1.1_B3_1_M__01.tif,141,G1
MP_BipKopp1.1_B3_1_M__01.tif,102,G2
MP_BipKopp1.1_B3_1_M__01.tif,89,G3
MP_BipKopp1.1_B3_1_M__02.tif,115,A1
MP_BipKopp1.1_B3_1_M__02.tif,99,A2
MP_BipKopp1.1_B3_1_M__02.tif,95,B1
MP_BipKopp1.1_B3_1_M__02.tif,81,B2
MP_BipKopp1.1_B3_1_M__02.tif,97,B3
MP_BipKopp1.1_B3_1_M__02.tif,87,C1
MP_BipKopp1.1_B3_1_M__02.tif,104,C2
MP_BipKopp1.1_B3_1_M__02.tif,123,C3
MP_BipKopp1.1_B3_1_M__02.tif,129,E1
MP_BipKopp1.1_B3_1_M__02.tif,108,E2
MP_BipKopp1.1_B3_1_M__02.tif,108,F1
MP_BipKopp1.1_B3_1_M__02.tif,107,F2
MP_BipKopp1.1_B3_1_M__02.tif,129,F3
MP_BipKopp1.1_B3_1_M__02.tif,136,G1
MP_BipKopp1.1_B3_1_M__02.tif,74,G2
MP_BipKopp1.1_B3_1_M__02.tif,92,G3
MP_BipKopp1.1_B3_1_M__03.tif,87,A1
MP_BipKopp1.1_B3_1_M__03.tif,94,A2
MP_BipKopp1.1_B3_1_M__03.tif,96,B1
MP_BipKopp1.1_B3_1_M__03.tif,96,B2
MP_BipKopp1.1_B3_1_M__03.tif,103,B3
MP_BipKopp1.1_B3_1_M__03.tif,93,C1
MP_BipKopp1.1_B3_1_M__03.tif,110,C2
MP_BipKopp1.1_B3_1_M__03.tif,114,C3
MP_BipKopp1.1_B3_1_M__03.tif,70,E1
MP_BipKopp1.1_B3_1_M__03.tif,103,E2
MP_BipKopp1.1_B3_1_M__03.tif,100,F1
MP_BipKopp1.1_B3_1_M__03.tif,111,F2
MP_BipKopp1.1_B3_1_M__03.tif,114,F3
MP_BipKopp1.1_B3_1_M__03.tif,145,G1
MP_BipKopp1.1_B3_1_M__03.tif,98,G2
MP_BipKopp1.1_B3_1_M__03.tif,109,G3
MP_BipKopp1.1_B3_1_M__04.tif,84,A1
MP_BipKopp1.1_B3_1_M__04.tif,79,A2
MP_BipKopp1.1_B3_1_M__04.tif,87,B1
MP_BipKopp1.1_B3_1_M__04.tif,71,B2
MP_BipKopp1.1_B3_1_M__04.tif,89,B3
MP_BipKopp1.1_B3_1_M__04.tif,88,C1
MP_BipKopp1.1_B3_1_M__04.tif,96,C2
MP_BipKopp1.1_B3_1_M__04.tif,115,C3
MP_BipKopp1.1_B3_1_M__04.tif,112,E1
MP_BipKopp1.1_B3_1_M__04.tif,97,E2
MP_BipKopp1.1_B3_1_M__04.tif,106,F1
MP_BipKopp1.1_B3_1_M__04.tif,100,F2
MP_BipKopp1.1_B3_1_M__04.tif,111,F3
MP_BipKopp1.1_B3_1_M__04.tif,132,G1
MP_BipKopp1.1_B3_1_M__04.tif,95,G2
MP_BipKopp1.1_B3_1_M__04.tif,121,G3
MP_BipKopp1.1_B3_1_M__05.tif,85,A1
MP_BipKopp1.1_B3_1_M__05.tif,91,A2
MP_BipKopp1.1_B3_1_M__05.tif,93,B1
MP_BipKopp1.1_B3_1_M__05.tif,106,B2
MP_BipKopp1.1_B3_1_M__05.tif,120,B3
MP_BipKopp1.1_B3_1_M__05.tif,95,C1
MP_BipKopp1.1_B3_1_M__05.tif,89,C2
MP_BipKopp1.1_B3_1_M__05.tif,120,C3
